Her father was a commercial real - estate developer and her mother a homemaker . ||| Son père était un développeur de biens immobiliers commerciaux et sa mère un ménageur.
A gradual but ceaseless developer as a composer , in his last couple of decades Farwell produced his most individual works - including a series of polytonal studies for piano , several concise instrumental sonatas , numerous effective and penetrating settings of the poetry of Emily Dickinson , and a satirical opera , " Cartoon " , which contains extended parodies of Stravinsky and Schoenberg . ||| Un développeur graduel mais sans cesse en tant que compositeur, au cours de ses dernières décennies, Farwell a produit ses œuvres les plus individuelles - y compris une série d'études polytonales pour le piano, plusieurs sonates instrumentales concises, de nombreux paramètres efficaces et pénétrants de la poésie d'Emily Dickinson, et une opéra satirique, " Cartoon ", qui contient des parodies étendues de Stravinsky et Schoenberg.
A good question to ask is , " Why ? " A game developer with 20 years of experience offers his perspective on what may be limiting health games ' appeal and what can be done about it . ||| Une bonne question à poser est, " Pourquoi? " Un développeur de jeux avec 20 ans d'expérience offre sa perspective sur ce qui peut être limitant l'attrait des jeux de santé " et ce qui peut être fait à son sujet.
This is suspected of being related to a suggested " " Scorched Earth " project " that the developer has mentioned in his blog in March 2006 . ||| Ceci est suspecté d'être lié à un projet suggéré " Scorched Earth " que le développeur a mentionné dans son blog en mars 2006.
Real estate developer Ben Shaoul interned with his company . ||| Développeur immobilier Ben Shaoul a interné avec sa société.
The developer himself said , " I did n't think it was going to be this popular , I thought it would gain only a small group of dedicated viewers and many others would check it out briefly before moving on to other things . ||| Le développeur lui-même a dit, "Je ne pensais pas qu'il allait être ce populaire, je pensais qu'il ne gagnerait qu'un petit groupe de spectateurs dédiés et beaucoup d'autres le vérifieraient brièvement avant de passer à d'autres choses.
Shortly after , a well - known PlayStation 3 developer , " Rogero , " released his free of charge 4.21 CFW . ||| Peu de temps après, un bien connu développeur PlayStation 3, " Rogero ", a libéré son gratuit 4.21 CFW.
Video game developer Nicklas Nygren used Fast Tracker 2 in his early works ( e.g. Knytt Stories ) to compose the video game music . ||| Développeur de jeux vidéo Nicklas Nygren a utilisé Fast Tracker 2 dans ses premiers travaux (par exemple Knytt Stories ) pour composer la musique de jeux vidéo.
Before his next start , Houston , Texas , real estate developer John Ballis paid $ 1 million for a half interest in the horse . ||| Avant son prochain départ, à Houston, au Texas, le développeur immobilier John Ballis a payé 1 million de dollars pour une demi-intérêt sur le cheval.
Ernest Sparkman , a name now synonymous with radio broadcasting in Perry County , died in January 2010 at the age of 84 , and well - known land developer Roy Campbell was murdered in his Brownsfork home in November 2010 . ||| Ernest Sparkman, un nom désormais synonyme de la radio de Perry County, est décédé en janvier 2010 à l'âge de 84 ans, et le célèbre développeur de terrain Roy Campbell a été assassiné dans sa maison Brownsfork en novembre 2010.
In 2007 , a developer at QNX Software Systems announced on his blog that he and a colleague were working on incorporating DTrace into the QNX operating system . ||| En 2007, un développeur de QNX Software Systems a annoncé sur son blog qu'il et un collègue travaillaient sur l'intégration de DTrace dans le système d'exploitation QNX.
McMillan was born and raised in La Jolla , California , where his father is a real estate developer and his mother a psychologist . ||| McMillan est né et élevé à La Jolla, en Californie, où son père est un développeur immobilier et sa mère un psychologue.
HTTP Switchboard 's developer , Raymond Hill , has also developed other browser extensions , including ad filtering uBlock which he actively leads as uBlock Origin . ||| HTTP Switchboard's développeur, Raymond Hill, a également développé d'autres extensions de navigateur, y compris le filtre publicitaire uBlock qu'il mène activement en tant que uBlock Origin.
Trump was honored for his work as a successful developer in New York City and his German heritage.[citation missing ] ||| Trump a été honoré pour son travail en tant que développeur de succès à New York et son patrimoine allemand.
Charles Deetz is a former real estate developer ; his wife Delia , a sculptor ; and his teenage goth daughter Lydia , from his first marriage , who is an aspiring photographer . ||| Charles Deetz est un ancien développeur immobilier ; sa femme Delia, un sculpteur ; et sa fille adolescente Lydia, de son premier mariage, qui est un photographe aspirant.
Indie game developer Ben Esposito worked on " Donut County " in his free time while developing " The Unfinished Swan " . ||| Indie jeu développeur Ben Esposito a travaillé sur " Donut County " dans son temps libre tout en développant " The Unfinished Swan ".
His father , Eldridge Gonaway was an attorney and city developer and his Mother , Lois ( née Warrior ) is a retired registered nurse . ||| Son père, Eldridge Gonaway était un avocat et un développeur de la ville et sa mère, Lois (née Warrior) est une infirmière en retraite.
In May 2009 local developer George Altamura spoke about his interest in purchasing the property . ||| En mai 2009, le développeur local George Altamura a parlé de son intérêt à acheter la propriété.
Via his Twitter account , developer Trent Oster revealed that the studio would not be making an Xbox 360 version for either remaster , because the controller was not a good fit for the Infinity Engine . ||| Par son compte Twitter, le développeur Trent Oster a révélé que le studio ne serait pas en train de faire une version Xbox 360 pour n’importe quel remaster, car le contrôleur n’était pas bon pour l’Infinity Engine.
Her father was a commercial real - estate developer and her mother a homemaker . ||| Son père était un développeur de biens immobiliers commerciaux et sa mère un fabricant de biens immobiliers.
Hannah Fletcher ( born November 1 , 1990 ) is a real estate developer and American television personality , who is best known for her role as a contestant on the twentieth season of ABC 's " The Bachelor " and as the lead on the twelfth season of " The Bachelorette " . ||| Hannah Fletcher (né le 1er novembre 1990 ) est un développeur immobilier et une personnalité de télévision américaine, qui est le mieux connu pour son rôle de concurrent dans la vingt-cinquième saison de The Bachelor et comme le chef de la douzième saison de The Bachelorette.
Her father is a real estate developer and her mother is an interior designer . ||| Son père est un développeur immobilier et sa mère est un designer d'intérieur.
A late developer , Typecast began to show contending form in 1971 at age five when she ran second in both the Beverly Hills and Ramona Handicaps and won the Las Palmas Handicap . ||| Un développeur tard, Typecast a commencé à montrer une forme contradictoire en 1971 à l'âge de cinq ans quand elle a remporté la deuxième fois dans les Beverly Hills et Ramona Handicaps et a remporté le Las Palmas Handicap.
In late 2011 , the online chatbox provider Xat filed a lawsuit after a developer published a copy of the source code to her server emulator . ||| À la fin de 2011, le fournisseur de chatbox en ligne Xat a déposé une plainte après qu'un développeur ait publié une copie du code source à son emulateur de serveur.
This led to suspicion that the developer intentionally manipulated her drop rate so most players would pour a lot of money to attempt drawing her in vain while sustaining the illusion that she was still in the gacha pool . ||| Cela a conduit à la suspension que le développeur a intentionnellement manipulé son taux de chute, de sorte que la plupart des joueurs auraient versé beaucoup d'argent pour essayer de la tirer en vain tout en soutenant l'illusion qu'elle était encore dans la piscine de Gacha.
Three novel processes ( negotiating , constructing , and attuning ) were identified that integrate the individual faculty developer , her context , and the evolution of her competence . ||| Trois nouveaux processus ( négociation, construction, et attuning) ont été identifiés qui intégrent le développeur faculté individuel, son contexte, et l'évolution de sa compétence.
The developer Joel Surnow , who described himself as " devotee of Besson 's film " , has repeatedly stated in interviews that the series is modelled explicitly after the Besson 's film and not the American remake , declaring that he had never seen " Point of No Return " . ||| Le développeur Joel Surnow, qui s’est décrit comme « dévoué du film de Besson », a répété dans des entretiens que la série est modélisée explicitement après le film de Besson et non le remake américain, déclarant qu’il n’a jamais vu « Point of No Return ».
On March 18 , 2010 , Fluid developer Todd Ditchendorf announced on his weblog that he was open - sourcing the browser - portion of Fluid ( also used by the Cruz browser ) under the Apache License as Fluidium . ||| Le 18 mars 2010, le développeur Fluid Todd Ditchendorf a annoncé sur son blog qu'il était ouvert - source le navigateur - partie de Fluid (utilisé également par le navigateur Cruz ) sous la Licence Apache comme Fluidium.
Zed A. Shaw is a software developer most commonly known for creating the Mongrel web server for Ruby web applications , as well as his articles on technology , business , and technical communities . ||| Zed A. Shaw est un développeur de logiciels le plus connu pour la création du serveur web Mongrel pour les applications Web Ruby, ainsi que ses articles sur la technologie, les affaires et les communautés techniques.
A real estate developer goes to his 25th high school reunion without his wife , and finds his old teenage band playing . ||| Un développeur immobilier se rend à sa 25e réunion de l'école secondaire sans sa femme, et trouve sa vieille bande d'adolescents jouer.
A gradual but ceaseless developer as a composer , in his last couple of decades Farwell produced his most individual works - including a series of polytonal studies for piano , several concise instrumental sonatas , numerous effective and penetrating settings of the poetry of Emily Dickinson , and a satirical opera , " Cartoon " , which contains extended parodies of Stravinsky and Schoenberg . ||| Un développeur graduel mais sans cesse en tant que compositeur, dans ses dernières décennies Farwell a produit ses œuvres les plus individuelles - y compris une série d'études polytonales pour le piano, plusieurs sonates instrumentales concises, de nombreuses étapes efficaces et pénétrantes de la poésie d'Emily Dickinson, et une opéra satirique, " Cartoon ", qui contient des parodies étendues de Stravinsky et Schoenberg.
A good question to ask is , " Why ? " A game developer with 20 years of experience offers his perspective on what may be limiting health games ' appeal and what can be done about it . ||| Une bonne question à poser est, " Pourquoi? " Un développeur de jeux avec 20 ans d'expérience offre sa perspective sur ce qui peut être limitant l'appel des jeux de santé'et ce qui peut être fait à son sujet.
This is suspected of being related to a suggested " " Scorched Earth " project " that the developer has mentioned in his blog in March 2006 . ||| Ceci est suspecté d'être lié à un projet suggéré " Scorched Earth " que le développeur a mentionné dans son blog en mars 2006.
Real estate developer Ben Shaoul interned with his company . ||| Développeur immobilier Ben Shaoul intervient avec sa société.
The developer himself said , " I did n't think it was going to be this popular , I thought it would gain only a small group of dedicated viewers and many others would check it out briefly before moving on to other things . ||| Le développeur lui-même a dit, "Je ne pensais pas qu'il allait être ce populaire, je pensais qu'il gagnerait seulement un petit groupe de spectateurs dédiés et beaucoup d'autres le vérifieraient brièvement avant de passer à d'autres choses.
Shortly after , a well - known PlayStation 3 developer , " Rogero , " released his free of charge 4.21 CFW . ||| Peu de temps après, un bien connu développeur PlayStation 3, " Rogero ", a libéré son gratuit 4.21 CFW.
Video game developer Nicklas Nygren used Fast Tracker 2 in his early works ( e.g. Knytt Stories ) to compose the video game music . ||| Développeur de jeux vidéo Nicklas Nygren a utilisé Fast Tracker 2 dans ses premières œuvres (par exemple Knytt Stories) pour composer la musique de jeux vidéo.
Before his next start , Houston , Texas , real estate developer John Ballis paid $ 1 million for a half interest in the horse . ||| Avant son prochain départ, à Houston, au Texas, le développeur immobilier John Ballis a payé 1 million de dollars pour une demi-intérêt sur le cheval.
Ernest Sparkman , a name now synonymous with radio broadcasting in Perry County , died in January 2010 at the age of 84 , and well - known land developer Roy Campbell was murdered in his Brownsfork home in November 2010 . ||| Ernest Sparkman, un nom désormais synonyme de la radiodiffusion dans le comté de Perry, est décédé en janvier 2010 à l'âge de 84 ans, et bien connu développeur de terrain Roy Campbell a été assassiné dans sa maison Brownsfork en novembre 2010.
In 2007 , a developer at QNX Software Systems announced on his blog that he and a colleague were working on incorporating DTrace into the QNX operating system . ||| En 2007, un développeur de QNX Software Systems a annoncé sur son blog qu'il et un collègue travaillaient sur l'intégration de DTrace dans le système d'exploitation QNX.
McMillan was born and raised in La Jolla , California , where his father is a real estate developer and his mother a psychologist . ||| McMillan est né et élevé à La Jolla, en Californie, où son père est un développeur immobilier et sa mère un psychologue.
HTTP Switchboard 's developer , Raymond Hill , has also developed other browser extensions , including ad filtering uBlock which he actively leads as uBlock Origin . ||| HTTP Switchboard's développeur, Raymond Hill, a également développé d'autres extensions de navigateur, y compris le filtre publicitaire uBlock qu'il mène activement en tant que uBlock Origin.
Trump was honored for his work as a successful developer in New York City and his German heritage.[citation missing ] ||| Trump a été honoré pour son travail en tant que développeur réussie à New York et son patrimoine allemand.
Charles Deetz is a former real estate developer ; his wife Delia , a sculptor ; and his teenage goth daughter Lydia , from his first marriage , who is an aspiring photographer . ||| Charles Deetz est un ancien développeur immobilier ; sa femme Delia, un sculpteur ; et sa fille adolescente Lydia, de son premier mariage, qui est un photographe aspirant.
Indie game developer Ben Esposito worked on " Donut County " in his free time while developing " The Unfinished Swan " . ||| Indie jeu développeur Ben Esposito a travaillé sur " Donut County " dans son temps libre tout en développant " The Unfinished Swan ".
His father , Eldridge Gonaway was an attorney and city developer and his Mother , Lois ( née Warrior ) is a retired registered nurse . ||| Son père, Eldridge Gonaway était un avocat et un développeur de la ville et sa mère, Lois (née Warrior) est une infirmière en retraite.
In May 2009 local developer George Altamura spoke about his interest in purchasing the property . ||| En mai 2009, le développeur local George Altamura a parlé de son intérêt à acheter la propriété.
Via his Twitter account , developer Trent Oster revealed that the studio would not be making an Xbox 360 version for either remaster , because the controller was not a good fit for the Infinity Engine . ||| Par son compte Twitter, le développeur Trent Oster a révélé que le studio ne serait pas en train de faire une version Xbox 360 pour n'importe quel remaster, car le contrôleur n'était pas bon pour l'Infinity Engine.
Her father was a commercial real - estate developer and her mother a homemaker . ||| Son père était un développeur immobilier commercial et sa mère une maison.
Hannah Fletcher ( born November 1 , 1990 ) is a real estate developer and American television personality , who is best known for her role as a contestant on the twentieth season of ABC 's " The Bachelor " and as the lead on the twelfth season of " The Bachelorette " . ||| Hannah Fletcher (né le 1er novembre 1990 ) est un développeur immobilier et une personnalité de télévision américaine, qui est mieux connue pour son rôle de concurrent dans la vingt-cinquième saison de l'ABC " The Bachelor " et comme le chef de la douzième saison de " The Bachelorette ".
Her father is a real estate developer and her mother is an interior designer . ||| Son père est un développeur immobilier et sa mère est un designer d'intérieur.
A late developer , Typecast began to show contending form in 1971 at age five when she ran second in both the Beverly Hills and Ramona Handicaps and won the Las Palmas Handicap . ||| Une développeur tardive, Typecast a commencé à montrer une forme contradictoire en 1971 à l'âge de cinq ans quand elle a remporté la deuxième fois dans les Beverly Hills et Ramona Handicaps et a remporté le Las Palmas Handicap.
In late 2011 , the online chatbox provider Xat filed a lawsuit after a developer published a copy of the source code to her server emulator . ||| À la fin de 2011, le fournisseur de chatbox en ligne Xat a déposé une plainte après qu'un développeur ait publié une copie du code source à son emulateur de serveur.
This led to suspicion that the developer intentionally manipulated her drop rate so most players would pour a lot of money to attempt drawing her in vain while sustaining the illusion that she was still in the gacha pool . ||| Cela a conduit à la suspension que le développeur a intentionnellement manipulé son taux de chute, de sorte que la plupart des joueurs auraient versé beaucoup d'argent pour essayer de la tirer en vain tout en soutenant l'illusion qu'elle était encore dans la piscine de Gacha.
Three novel processes ( negotiating , constructing , and attuning ) were identified that integrate the individual faculty developer , her context , and the evolution of her competence . ||| Trois nouveaux processus ( négociation, construction et attuning) ont été identifiés qui intégrent le développeur de faculté individuel, son contexte, et l’évolution de sa compétence.
The developer Joel Surnow , who described himself as " devotee of Besson 's film " , has repeatedly stated in interviews that the series is modelled explicitly after the Besson 's film and not the American remake , declaring that he had never seen " Point of No Return " . ||| Le développeur Joel Surnow, qui s'est décrit comme « dévoué du film de Besson », a répété dans les interviews que la série est modélisée explicitement après le film de Besson et non le remake américain, déclarant qu'il n'a jamais vu " Point of No Return ".
On March 18 , 2010 , Fluid developer Todd Ditchendorf announced on his weblog that he was open - sourcing the browser - portion of Fluid ( also used by the Cruz browser ) under the Apache License as Fluidium . ||| Le 18 mars 2010, le développeur de Fluid Todd Ditchendorf a annoncé sur son blog qu'il avait ouvert - source le navigateur - une portion de Fluid (également utilisée par le navigateur Cruz) sous la Licence Apache comme Fluidium.
Zed A. Shaw is a software developer most commonly known for creating the Mongrel web server for Ruby web applications , as well as his articles on technology , business , and technical communities . ||| Zed A. Shaw est un développeur de logiciels le plus connu pour la création du serveur web Mongrel pour les applications Web Ruby, ainsi que ses articles sur la technologie, les affaires et les communautés techniques.
A real estate developer goes to his 25th high school reunion without his wife , and finds his old teenage band playing . ||| Un développeur immobilier se rend à sa 25e réunion de l'école secondaire sans sa femme, et trouve son ancien groupe d'adolescents jouer.
A gradual but ceaseless developer as a composer , in his last couple of decades Farwell produced his most individual works - including a series of polytonal studies for piano , several concise instrumental sonatas , numerous effective and penetrating settings of the poetry of Emily Dickinson , and a satirical opera , " Cartoon " , which contains extended parodies of Stravinsky and Schoenberg . ||| Un développeur graduel mais sans cesse en tant que compositeur, dans ses dernières décennies Farwell a produit ses œuvres les plus individuelles - y compris une série d'études polytonales pour le piano, plusieurs sonates instrumentales concises, de nombreux arrangements efficaces et pénétrants de la poésie d'Emily Dickinson, et une opéra satirique, " Cartoon ", qui contient des parodies étendues de Stravinsky et Schoenberg.
A good question to ask is , " Why ? " A game developer with 20 years of experience offers his perspective on what may be limiting health games ' appeal and what can be done about it . ||| Une bonne question à poser est, " Pourquoi? " Un développeur de jeux avec 20 ans d'expérience offre sa perspective sur ce qui peut être limitant l'appel des jeux de santé " et ce qui peut être fait à son sujet.
This is suspected of being related to a suggested " " Scorched Earth " project " that the developer has mentioned in his blog in March 2006 . ||| Ceci est suspecté d’être lié à un projet suggéré « Scorched Earth » que le développeur a mentionné dans son blog en mars 2006.
Real estate developer Ben Shaoul interned with his company . ||| Propriété développeur Ben Shaoul intervient avec sa société.
The developer himself said , " I did n't think it was going to be this popular , I thought it would gain only a small group of dedicated viewers and many others would check it out briefly before moving on to other things . ||| Le développeur lui-même a dit : « Je ne pensais pas qu’il allait être populaire, je pensais qu’il ne gagnerait qu’un petit groupe de spectateurs dédiés et beaucoup d’autres le vérifieraient brièvement avant de passer à d’autres choses.
Shortly after , a well - known PlayStation 3 developer , " Rogero , " released his free of charge 4.21 CFW . ||| Bref après, un bien connu développeur PlayStation 3, " Rogero ", a libéré son gratuit 4.21 CFW.
Video game developer Nicklas Nygren used Fast Tracker 2 in his early works ( e.g. Knytt Stories ) to compose the video game music . ||| Développeur de jeux vidéo Nicklas Nygren a utilisé Fast Tracker 2 dans ses premiers travaux (par exemple Knytt Stories) pour composer la musique de jeux vidéo.
Before his next start , Houston , Texas , real estate developer John Ballis paid $ 1 million for a half interest in the horse . ||| Avant son prochain départ, à Houston, au Texas, le développeur immobilier John Ballis a payé 1 million de dollars pour une demi-intérêt sur le cheval.
Ernest Sparkman , a name now synonymous with radio broadcasting in Perry County , died in January 2010 at the age of 84 , and well - known land developer Roy Campbell was murdered in his Brownsfork home in November 2010 . ||| Ernest Sparkman, un nom maintenant synonyme de la radiodiffusion dans le comté de Perry, est décédé en janvier 2010 à l'âge de 84 ans, et le célèbre développeur de terrain Roy Campbell a été assassiné dans sa maison Brownsfork en novembre 2010.
In 2007 , a developer at QNX Software Systems announced on his blog that he and a colleague were working on incorporating DTrace into the QNX operating system . ||| En 2007, un développeur de QNX Software Systems a annoncé sur son blog qu'il et un collègue travaillaient sur l'intégration de DTrace dans le système d'exploitation QNX.
McMillan was born and raised in La Jolla , California , where his father is a real estate developer and his mother a psychologist . ||| McMillan est né et élevé à La Jolla, en Californie, où son père est un développeur immobilier et sa mère un psychologue.
HTTP Switchboard 's developer , Raymond Hill , has also developed other browser extensions , including ad filtering uBlock which he actively leads as uBlock Origin . ||| HTTP Switchboard's développeur, Raymond Hill, a également développé d'autres extensions de navigateur, y compris le filtre publicitaire uBlock qu'il mène activement en tant que uBlock Origin.
Trump was honored for his work as a successful developer in New York City and his German heritage.[citation missing ] ||| Trump a été honoré pour son travail en tant que développeur réussie à New York et son patrimoine allemand.
Charles Deetz is a former real estate developer ; his wife Delia , a sculptor ; and his teenage goth daughter Lydia , from his first marriage , who is an aspiring photographer . ||| Charles Deetz est un ancien développeur immobilier ; sa femme Delia, un sculpteur ; et sa fille adolescente Lydia, de son premier mariage, qui est un photographe aspirant.
Indie game developer Ben Esposito worked on " Donut County " in his free time while developing " The Unfinished Swan " . ||| Indie développeur de jeux Ben Esposito a travaillé sur " Donut County " dans son temps libre tout en développant " The Unfinished Swan ".
His father , Eldridge Gonaway was an attorney and city developer and his Mother , Lois ( née Warrior ) is a retired registered nurse . ||| Son père, Eldridge Gonaway était un avocat et un développeur de la ville et sa mère, Lois (née Warrior) est une infirmière en retraite.
In May 2009 local developer George Altamura spoke about his interest in purchasing the property . ||| En mai 2009, le développeur local George Altamura a parlé de son intérêt à acheter la propriété.
Via his Twitter account , developer Trent Oster revealed that the studio would not be making an Xbox 360 version for either remaster , because the controller was not a good fit for the Infinity Engine . ||| Par son compte Twitter, le développeur Trent Oster a révélé que le studio ne serait pas en train de faire une version Xbox 360 pour n'importe quel remaster, car le contrôleur n'était pas bon pour l'Infinity Engine.
Her father was a commercial real - estate developer and her mother a homemaker . ||| Son père était un développeur immobilier commercial et sa mère un ménage.
Hannah Fletcher ( born November 1 , 1990 ) is a real estate developer and American television personality , who is best known for her role as a contestant on the twentieth season of ABC 's " The Bachelor " and as the lead on the twelfth season of " The Bachelorette " . ||| Hannah Fletcher (né le 1er novembre 1990 ) est un développeur immobilier et une personnalité de la télévision américaine, qui est mieux connue pour son rôle de concurrente dans la vingt-cinquième saison de The Bachelor de l'ABC et comme le chef de la douzième saison de The Bachelorette.
Her father is a real estate developer and her mother is an interior designer . ||| Son père est un développeur immobilier et sa mère est un designer d'intérieur.
A late developer , Typecast began to show contending form in 1971 at age five when she ran second in both the Beverly Hills and Ramona Handicaps and won the Las Palmas Handicap . ||| En 1971, à l'âge de cinq ans, Typecast a commencé à montrer une forme contendante lorsqu'elle a remporté la deuxième place dans les Beverly Hills et Ramona Handicaps et a remporté le Las Palmas Handicap.
In late 2011 , the online chatbox provider Xat filed a lawsuit after a developer published a copy of the source code to her server emulator . ||| À la fin de 2011, le fournisseur de chatbox en ligne Xat a déposé une plainte après qu'un développeur ait publié une copie du code source à son emulateur de serveur.
This led to suspicion that the developer intentionally manipulated her drop rate so most players would pour a lot of money to attempt drawing her in vain while sustaining the illusion that she was still in the gacha pool . ||| Cela a conduit à la suspension que le développeur a intentionnellement manipulé son taux de chute, de sorte que la plupart des joueurs auraient versé beaucoup d'argent pour tenter de la tirer en vain tout en soutenant l'illusion qu'elle était encore dans la piscine de gacha.
Three novel processes ( negotiating , constructing , and attuning ) were identified that integrate the individual faculty developer , her context , and the evolution of her competence . ||| Trois nouveaux processus ( négociation, construction et attuning) ont été identifiés qui intégrent le développeur de faculté individuel, son contexte et l'évolution de sa compétence.
The developer Joel Surnow , who described himself as " devotee of Besson 's film " , has repeatedly stated in interviews that the series is modelled explicitly after the Besson 's film and not the American remake , declaring that he had never seen " Point of No Return " . ||| Le développeur Joel Surnow, qui s’est décrit comme « dévoteur du film de Besson », a répété dans des interviews que la série est modélisée explicitement après le film de Besson et non le remake américain, déclarant qu’il n’a jamais vu « Point of No Return ».
On March 18 , 2010 , Fluid developer Todd Ditchendorf announced on his weblog that he was open - sourcing the browser - portion of Fluid ( also used by the Cruz browser ) under the Apache License as Fluidium . ||| Le 18 mars 2010, le développeur de Fluid, Todd Ditchendorf, a annoncé sur son blog qu’il avait ouvert – source le navigateur – une portion de Fluid (également utilisée par le navigateur Cruz) sous la Licence d’Apache en tant que Fluidium.
Zed A. Shaw is a software developer most commonly known for creating the Mongrel web server for Ruby web applications , as well as his articles on technology , business , and technical communities . ||| Zed A. Shaw est un développeur de logiciels le plus connu pour la création du serveur web Mongrel pour les applications Web Ruby, ainsi que ses articles sur la technologie, les entreprises et les communautés techniques.
A real estate developer goes to his 25th high school reunion without his wife , and finds his old teenage band playing . ||| Un développeur immobilier se rend à sa 25e réunion de lycée sans sa femme, et trouve son ancien groupe d'adolescents jouer.
A gradual but ceaseless developer as a composer , in his last couple of decades Farwell produced his most individual works - including a series of polytonal studies for piano , several concise instrumental sonatas , numerous effective and penetrating settings of the poetry of Emily Dickinson , and a satirical opera , " Cartoon " , which contains extended parodies of Stravinsky and Schoenberg . ||| Un développeur graduel mais sans cesse en tant que compositeur, au cours de ses dernières décennies, Farwell a produit ses œuvres les plus individuelles - y compris une série d'études polytonales pour le piano, plusieurs sonates instrumentales concises, de nombreux arrangements efficaces et pénétrants de la poésie d'Emily Dickinson, et une opéra satirique, " Cartoon ", qui contient des parodies étendues de Stravinsky et Schoenberg.
A good question to ask is , " Why ? " A game developer with 20 years of experience offers his perspective on what may be limiting health games ' appeal and what can be done about it . ||| Une bonne question à poser est, " Pourquoi? " Un développeur de jeux avec 20 ans d'expérience offre sa perspective sur ce qui peut limiter l'appel des jeux de santé et ce qui peut être fait à son sujet.
This is suspected of being related to a suggested " " Scorched Earth " project " that the developer has mentioned in his blog in March 2006 . ||| Ceci est suspecté d'être lié à un projet suggéré " Scorched Earth " que le développeur a mentionné dans son blog en mars 2006.
Real estate developer Ben Shaoul interned with his company . ||| Le développeur immobilier Ben Shaoul a interné avec sa société.
The developer himself said , " I did n't think it was going to be this popular , I thought it would gain only a small group of dedicated viewers and many others would check it out briefly before moving on to other things . ||| Le développeur lui-même a dit : « Je ne pensais pas qu'il allait être populaire, je pensais qu'il ne gagnerait qu'un petit groupe de spectateurs dévoués et beaucoup d'autres le vérifieraient brièvement avant de passer à d'autres choses.
Shortly after , a well - known PlayStation 3 developer , " Rogero , " released his free of charge 4.21 CFW . ||| Peu de temps après, un bien connu développeur PlayStation 3, " Rogero ", a libéré son gratuit 4.21 CFW.
Video game developer Nicklas Nygren used Fast Tracker 2 in his early works ( e.g. Knytt Stories ) to compose the video game music . ||| Le développeur de jeux vidéo Nicklas Nygren a utilisé Fast Tracker 2 dans ses premiers travaux (par exemple Knytt Stories) pour composer la musique de jeux vidéo.
Before his next start , Houston , Texas , real estate developer John Ballis paid $ 1 million for a half interest in the horse . ||| Avant son prochain départ, à Houston, au Texas, le développeur immobilier John Ballis a payé 1 million de dollars pour une demi-intérêt sur le cheval.
